Airframe_Zone,Stress_MPa,Vibration_mm,Fatigue_Life_Cycles,Failure_Risk_Score
Wing Tip,320.6517648754908,5.911326301051832,196.02429506682847,100.0
Wing Tip,32.65260874559779,26.05219630036059,152.27317787708617,87.02778518817672
Tail Fin,263.84650445005263,2.1641415812994573,181.88969920537207,100.0
Wing Tip,64.40260565429631,9.118267131788935,94.75865160695447,52.90402631578966
Wing Root,45.33650946780011,18.742387275326074,98.70318786045488,69.73940564309075
Fuselage,246.94249224156096,5.5304616487751,20.93764028139348,44.4856879879847
Tail Fin,377.4586847170926,17.11700242644341,99.42704312227944,100.0
Tail Fin,203.11899494339536,1.5144613728989427,227.7834985093016,100.0
Tail Fin,81.07207423734431,22.783161604370747,109.16318925035495,91.58806149683419
Fuselage,388.1380048281778,23.36641828915288,235.17724068322633,100.0
Wing Root,371.39695765957975,21.954523877764416,85.00248835742967,89.43028966508871
Wing Root,136.8788289976731,11.96598004583972,71.4805127846045,66.66516708884525
Fuselage,238.8329546089008,28.97503156429207,153.72339068323774,100.0
Fuselage,39.07475103511062,29.61316462971526,194.19996847768107,100.0
Tail Fin,124.46038814003487,0.9153547700949914,53.716389001757264,47.30755491856064
Wing Tip,38.87741417629524,11.074738992056043,33.38791958365678,33.92822836999715
Wing Tip,341.5150453380217,13.758794887077,28.375478540150773,100.0
Fuselage,294.546409551845,19.30794540497879,222.3671219312,100.0
Fuselage,159.34148115397804,29.16550681397856,212.98388694519053,100.0
Wing Root,202.5802825821124,15.920618466768826,109.74754949784466,81.83000256666642
Wing Root,181.34123572765034,6.450716468894187,224.46208094001224,100.0
Tail Fin,363.9509248311763,7.854120759891811,105.54381614372929,100.0
Wing Tip,89.19387764656007,28.31418033146044,151.7220392896913,98.45102590270737
Wing Root,325.1669480301226,19.18541081705749,218.50784459599083,100.0
Tail Fin,95.1917705145651,12.787043462175804,221.40366343512272,100.0
Fuselage,134.02135523902692,3.7465317735664643,60.844114822775715,33.13839719591406
Wing Root,10.202947028173169,10.900781261857986,79.67140824871711,49.36494374054148
Wing Root,96.62204608358479,4.036028336343643,87.71571699388885,39.72421299225061
Wing Tip,75.63350644744291,6.953544477405572,141.7349904942486,67.45969309754085
Wing Root,385.35444502742337,7.927577726848242,126.82588394363444,81.15707838538923
Fuselage,67.75390268182596,29.933344308943784,70.36134849744482,95.35913048602619
Wing Tip,118.67212105227846,27.293843636016284,63.692663213408245,78.26902186374268
Wing Root,217.0644874936832,13.709603354906204,140.45880682247534,83.78801731495784
Tail Fin,102.67864215703587,21.98238228404986,95.10686751621704,89.47937373352852
Tail Fin,393.53502494898873,12.265321052114315,205.02580893874907,100.0
Wing Tip,82.74221905594315,1.7028666758655355,149.76877108111924,73.00672345551541
Wing Tip,95.89400855056384,21.478911206921527,203.32775630423026,100.0
Fuselage,279.4657178599617,11.908692715865854,234.49884724049997,100.0
Fuselage,273.5191456453195,22.188875517602778,56.22254708073985,100.0
Wing Tip,267.39377795332985,24.608054905935866,141.02419884186827,100.0
Tail Fin,111.72337818385952,29.889484142858766,241.52774106575444,100.0
Wing Tip,142.22161850899326,10.801682451073496,182.85914132320863,100.0
Wing Tip,343.9664738324561,12.432989750104607,222.50367419643516,100.0
Wing Root,13.586850130485562,3.4934105145479473,167.55793343147369,78.45606897824923
Fuselage,120.72918014761161,9.508233880159606,123.97536962862551,61.391871858301684
Tail Fin,287.749896325539,7.498848081155602,84.72292604902059,96.38620892663182
Tail Fin,152.92282598731538,22.45303043016859,181.63028144177167,100.0
Wing Tip,153.40916319317907,8.323469846610902,64.77746262787548,62.68212339467689
Wing Root,391.7682147272535,14.858893512303926,226.99420299104574,100.0
Fuselage,234.99251500428005,15.029271967656484,52.8345320105209,67.40255018111017
Fuselage,204.6854181550534,17.3741238766709,193.2957335050457,93.64674289736412
Wing Root,154.3618930996233,0.9559701876015891,232.43804783399273,100.0
Fuselage,225.57833706584108,17.38262784053973,245.1812380104312,100.0
Tail Fin,341.9433018915742,9.849199152110192,46.525722938092656,97.6986489915386
Fuselage,163.92967205569417,25.404287651426184,232.8541245286538,100.0
Wing Tip,212.14856442185732,26.382505621874685,186.48831134978008,100.0
Fuselage,63.28231926239124,21.4128744088485,140.4408943424374,84.6138799420653
Wing Root,348.1582042462404,27.440596300415905,130.27888772092976,100.0
Fuselage,254.87882182996808,6.231081628605246,22.38052466498228,42.761966698633294
Wing Tip,141.81811117209895,11.579697102878349,28.025575261012904,59.57818946991681
Wing Tip,272.09019276512777,10.180503690504592,42.98519609829733,100.0
Wing Root,330.81421865726674,11.125623921632256,36.12982559971177,50.65929531421804
Fuselage,332.8689114771596,8.510516016682386,241.4866984457386,100.0
Tail Fin,217.2283063115777,16.44873608749814,161.1703258670606,100.0
Tail Fin,61.770714674758224,29.10133757986769,180.07580052408827,100.0
Wing Tip,181.19885407519808,2.814463249596846,11.21093213678709,57.54342003450741
Fuselage,41.54045698070709,13.13527701073318,173.68247568751477,63.984589963286155
Wing Root,288.6924098530243,19.975822613173072,73.58380475175599,72.11623099259273
Tail Fin,211.511540396361,19.88478419075492,111.73986017608331,100.0
Wing Root,15.61346056560479,3.924142894954029,16.270647295329425,14.319998449995241
